"ID","NOMBRE","COLOR_HTML","PANTONE"
"14","VIOLETA","#7612B5",""
"15","MARRON","#8F5825",""
"24","VERDE ROCIG","#114707",""
"1","NEGRO","#000000",""
"2","AZUL","#0000FF",""
"3","ROJO","#FF0000",""
"4","VERDE","#00FF00",""
"5","AMARILLO","#FFFF00",""
"6","CELESTE","#00FFFF",""
"7","CELESTE FERRUM","#569E9E","GCMI 3086"
"8","BLANCO","#FFFFFF",""
"9","ROSA HAMRA","#D975CD","PANTONE 193"
"10","GRIS","#777777","PANTONE 432"
"11","AZUL ESPECIAL","#515196","PANTONE 303C"
"12","CELESTE STANDARD","#30BFBD","PANTONE 639"
"13","NARANJA","#EE9900",""
"16","MAGENTA","#E312E3",""
"17","LILA","#ED17ED",""
"18","BORDO","#A16CA1",""
"19","AZUL FERVA","#0C1899",""
"20","MOSTAZA","#968F52",""
"21","VERDE ANDO","#08F065",""
"22","DORADO","#F5F1B3",""
"23","OCRE","#A3A37C",""
